date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref,league
2023-09-02T13:30:00Z,3,leverkusen,darmstadt,5,1,1,1,4,leverkusen,darmstadt,sven jablonski,Bundesliga
2023-09-02T13:30:00Z,3,hoffenheim,wolfsburg,3,1,1,1,2,hoffenheim,wolfsburg,felix zwayer,Bundesliga
2023-09-02T13:30:00Z,3,bremen,mainz,4,0,1,0,4,bremen,mainz,robert schröder,Bundesliga
2023-09-02T13:30:00Z,3,augsburg,bochum,2,2,1,1,0,draw,draw,martin petersen,Bundesliga
2023-09-02T13:30:00Z,3,stuttgart,freiburg,5,0,3,0,5,stuttgart,freiburg,felix brych,Bundesliga
2023-09-02T16:30:00Z,3,m'gladbach,bayern,1,2,1,0,1,bayern,m'gladbach,deniz aytekin,Bundesliga
2023-09-03T13:30:00Z,3,frankfurt,1. fc köln,1,1,0,1,0,draw,draw,florian badstübner,Bundesliga
2023-09-03T15:30:00Z,3,union berlin,rb leipzig,0,3,0,0,3,rb leipzig,union berlin,daniel schlager,Bundesliga
2023-09-15T18:30:00Z,4,bayern,leverkusen,2,2,1,1,0,draw,draw,daniel schlager,Bundesliga
2023-09-16T13:30:00Z,4,rb leipzig,augsburg,3,0,3,0,3,rb leipzig,augsburg,sascha stegemann,Bundesliga
2023-09-16T13:30:00Z,4,freiburg,dortmund,2,4,2,1,2,dortmund,freiburg,tobias stieler,Bundesliga
2023-09-16T13:30:00Z,4,wolfsburg,union berlin,2,1,2,1,1,wolfsburg,union berlin,felix brych,Bundesliga
2023-09-16T13:30:00Z,4,mainz,stuttgart,1,3,0,0,2,stuttgart,mainz,harm osmers,Bundesliga
2023-09-16T13:30:00Z,4,1. fc köln,hoffenheim,1,3,0,2,2,hoffenheim,1. fc köln,daniel siebert,Bundesliga
2023-09-16T16:30:00Z,4,bochum,frankfurt,1,1,0,0,0,draw,draw,benjamin brand,Bundesliga
2023-09-17T13:30:00Z,4,heidenheim,bremen,4,2,2,0,2,heidenheim,bremen,patrick ittrich,Bundesliga
2023-09-17T15:30:00Z,4,darmstadt,m'gladbach,3,3,3,0,0,draw,draw,timo gerach,Bundesliga
2023-09-22T18:30:00Z,5,stuttgart,darmstadt,3,1,2,1,2,stuttgart,darmstadt,matthias jöllenbeck,Bundesliga
2023-09-23T13:30:00Z,5,bayern,bochum,7,0,4,0,7,bayern,bochum,robert hartmann,Bundesliga
2023-09-23T13:30:00Z,5,dortmund,wolfsburg,1,0,0,0,1,dortmund,wolfsburg,sven jablonski,Bundesliga
2023-09-23T13:30:00Z,5,union berlin,hoffenheim,0,2,0,2,2,hoffenheim,union berlin,deniz aytekin,Bundesliga
2023-09-23T13:30:00Z,5,m'gladbach,rb leipzig,0,1,0,0,1,rb leipzig,m'gladbach,robert schröder,Bundesliga
2023-09-23T13:30:00Z,5,augsburg,mainz,2,1,2,1,1,augsburg,mainz,marco fritz,Bundesliga
2023-09-23T16:30:00Z,5,bremen,1. fc köln,2,1,1,1,1,bremen,1. fc köln,bastian dankert,Bundesliga
2023-09-24T13:30:00Z,5,leverkusen,heidenheim,4,1,1,0,3,leverkusen,heidenheim,christian dingert,Bundesliga
2023-09-24T15:30:00Z,5,frankfurt,freiburg,0,0,0,0,0,draw,draw,felix zwayer,Bundesliga
2023-09-29T18:30:00Z,6,hoffenheim,dortmund,1,3,1,2,2,dortmund,hoffenheim,florian badstübner,Bundesliga
2023-09-30T13:30:00Z,6,wolfsburg,frankfurt,2,0,1,0,2,wolfsburg,frankfurt,frank willenborg,Bundesliga
2023-09-30T13:30:00Z,6,mainz,leverkusen,0,3,0,1,3,leverkusen,mainz,benjamin brand,Bundesliga
2023-09-30T13:30:00Z,6,1. fc köln,stuttgart,0,2,0,0,2,stuttgart,1. fc köln,tobias stieler,Bundesliga
2023-09-30T13:30:00Z,6,bochum,m'gladbach,1,3,0,3,2,m'gladbach,bochum,felix brych,Bundesliga
2023-09-30T13:30:00Z,6,heidenheim,union berlin,1,0,0,0,1,heidenheim,union berlin,sascha stegemann,Bundesliga
2023-09-30T16:30:00Z,6,rb leipzig,bayern,2,2,2,0,0,draw,draw,marco fritz,Bundesliga
2023-10-01T13:30:00Z,6,darmstadt,bremen,4,2,2,0,2,darmstadt,bremen,martin petersen,Bundesliga
2023-10-01T15:30:00Z,6,freiburg,augsburg,2,0,1,0,2,freiburg,augsburg,harm osmers,Bundesliga
2023-10-06T18:30:00Z,7,m'gladbach,mainz,2,2,1,1,0,draw,draw,sven jablonski,Bundesliga
2023-10-07T13:30:00Z,7,dortmund,union berlin,4,2,1,2,2,dortmund,union berlin,patrick ittrich,Bundesliga
2023-10-07T13:30:00Z,7,rb leipzig,bochum,0,0,0,0,0,draw,draw,timo gerach,Bundesliga
2023-10-07T13:30:00Z,7,augsburg,darmstadt,1,2,0,0,1,darmstadt,augsburg,deniz aytekin,Bundesliga
2023-10-07T13:30:00Z,7,stuttgart,wolfsburg,3,1,0,1,2,stuttgart,wolfsburg,daniel siebert,Bundesliga
2023-10-07T16:30:00Z,7,bremen,hoffenheim,2,3,1,2,1,hoffenheim,bremen,christian dingert,Bundesliga
2023-10-08T13:30:00Z,7,leverkusen,1. fc köln,3,0,2,0,3,leverkusen,1. fc köln,felix zwayer,Bundesliga
2023-10-08T15:30:00Z,7,bayern,freiburg,3,0,2,0,3,bayern,freiburg,robert schröder,Bundesliga
2023-10-08T17:30:00Z,7,frankfurt,heidenheim,2,0,1,0,2,frankfurt,heidenheim,daniel schlager,Bundesliga
2023-10-20T18:30:00Z,8,dortmund,bremen,1,0,0,0,1,dortmund,bremen,felix brych,Bundesliga
2023-10-21T13:30:00Z,8,hoffenheim,frankfurt,1,3,1,3,2,frankfurt,hoffenheim,matthias jöllenbeck,Bundesliga
2023-10-21T13:30:00Z,8,darmstadt,rb leipzig,1,3,1,2,2,rb leipzig,darmstadt,harm osmers,Bundesliga
2023-10-21T13:30:00Z,8,union berlin,stuttgart,0,3,0,1,3,stuttgart,union berlin,bastian dankert,Bundesliga
2023-10-21T13:30:00Z,8,freiburg,bochum,2,1,2,1,1,freiburg,bochum,tobias reichel,Bundesliga
2023-10-21T13:30:00Z,8,wolfsburg,leverkusen,1,2,1,1,1,leverkusen,wolfsburg,marco fritz,Bundesliga
2023-10-21T16:30:00Z,8,mainz,bayern,1,3,1,2,2,bayern,mainz,sascha stegemann,Bundesliga
2023-10-22T13:30:00Z,8,1. fc köln,m'gladbach,3,1,1,0,2,1. fc köln,m'gladbach,deniz aytekin,Bundesliga
2023-10-22T15:30:00Z,8,heidenheim,augsburg,2,5,2,3,3,augsburg,heidenheim,tobias stieler,Bundesliga
2023-10-27T18:30:00Z,9,bochum,mainz,2,2,1,0,0,draw,draw,patrick ittrich,Bundesliga
2023-10-28T13:30:00Z,9,bayern,darmstadt,8,0,0,0,8,bayern,darmstadt,martin petersen,Bundesliga
2023-10-28T13:30:00Z,9,m'gladbach,heidenheim,2,1,1,1,1,m'gladbach,heidenheim,robert hartmann,Bundesliga
2023-10-28T13:30:00Z,9,bremen,union berlin,2,0,1,0,2,bremen,union berlin,tobias stieler,Bundesliga
2023-10-28T13:30:00Z,9,augsburg,wolfsburg,3,2,1,2,1,augsburg,wolfsburg,daniel schlager,Bundesliga
2023-10-28T13:30:00Z,9,stuttgart,hoffenheim,2,3,0,2,1,hoffenheim,stuttgart,felix zwayer,Bundesliga
2023-10-28T16:30:00Z,9,rb leipzig,1. fc köln,6,0,4,0,6,rb leipzig,1. fc köln,benjamin brand,Bundesliga
2023-10-29T14:30:00Z,9,frankfurt,dortmund,3,3,2,1,0,draw,draw,robert schröder,Bundesliga
2023-10-29T16:30:00Z,9,leverkusen,freiburg,2,1,1,0,1,leverkusen,freiburg,daniel siebert,Bundesliga
2023-11-03T19:30:00Z,10,darmstadt,bochum,1,2,1,1,1,bochum,darmstadt,marco fritz,Bundesliga
2023-11-04T14:30:00Z,10,union berlin,frankfurt,0,3,0,2,3,frankfurt,union berlin,sven jablonski,Bundesliga
2023-11-04T14:30:00Z,10,freiburg,m'gladbach,3,3,1,3,0,draw,draw,felix brych,Bundesliga
2023-11-04T14:30:00Z,10,mainz,rb leipzig,2,0,0,0,2,mainz,rb leipzig,bastian dankert,Bundesliga
2023-11-04T14:30:00Z,10,1. fc köln,augsburg,1,1,1,1,0,draw,draw,christian dingert,Bundesliga
2023-11-04T14:30:00Z,10,hoffenheim,leverkusen,2,3,0,2,1,leverkusen,hoffenheim,frank willenborg,Bundesliga
2023-11-04T17:30:00Z,10,dortmund,bayern,0,4,0,2,4,bayern,dortmund,deniz aytekin,Bundesliga
2023-11-05T14:30:00Z,10,wolfsburg,bremen,2,2,1,1,0,draw,draw,unknown,Bundesliga
2023-11-05T16:30:00Z,10,heidenheim,stuttgart,2,0,0,0,2,heidenheim,stuttgart,unknown,Bundesliga
2023-11-10T19:30:00Z,11,m'gladbach,wolfsburg,4,0,2,0,4,m'gladbach,wolfsburg,felix zwayer,Bundesliga
2023-11-11T14:30:00Z,11,bayern,heidenheim,4,2,2,0,2,bayern,heidenheim,harm osmers,Bundesliga
2023-11-11T14:30:00Z,11,augsburg,hoffenheim,1,1,0,1,0,draw,draw,felix brych,Bundesliga
2023-11-11T14:30:00Z,11,stuttgart,dortmund,2,1,1,1,1,stuttgart,dortmund,tobias stieler,Bundesliga
2023-11-11T14:30:00Z,11,darmstadt,mainz,0,0,0,0,0,draw,draw,daniel siebert,Bundesliga
2023-11-11T17:30:00Z,11,bochum,1. fc köln,1,1,1,0,0,draw,draw,matthias jöllenbeck,Bundesliga
2023-11-12T14:30:00Z,11,leverkusen,union berlin,4,0,1,0,4,leverkusen,union berlin,timo gerach,Bundesliga
2023-11-12T16:30:00Z,11,bremen,frankfurt,2,2,1,0,0,draw,draw,benjamin brand,Bundesliga
2023-11-12T18:30:00Z,11,rb leipzig,freiburg,3,1,1,1,2,rb leipzig,freiburg,patrick ittrich,Bundesliga
2023-11-24T19:30:00Z,12,1. fc köln,bayern,0,1,0,1,1,bayern,1. fc köln,marco fritz,Bundesliga
2023-11-25T14:30:00Z,12,dortmund,m'gladbach,4,2,3,2,2,dortmund,m'gladbach,sven jablonski,Bundesliga
2023-11-25T14:30:00Z,12,union berlin,augsburg,1,1,0,1,0,draw,draw,florian badstübner,Bundesliga
2023-11-25T14:30:00Z,12,freiburg,darmstadt,1,1,1,1,0,draw,draw,sascha stegemann,Bundesliga
2023-11-25T14:30:00Z,12,wolfsburg,rb leipzig,2,1,1,0,1,wolfsburg,rb leipzig,robert hartmann,Bundesliga
2023-11-25T14:30:00Z,12,bremen,leverkusen,0,3,0,2,3,leverkusen,bremen,martin petersen,Bundesliga
2023-11-25T17:30:00Z,12,frankfurt,stuttgart,1,2,1,2,1,stuttgart,frankfurt,felix brych,Bundesliga
2023-11-26T14:30:00Z,12,heidenheim,bochum,0,0,0,0,0,draw,draw,felix zwayer,Bundesliga
2023-11-26T16:30:00Z,12,hoffenheim,mainz,1,1,0,1,0,draw,draw,deniz aytekin,Bundesliga
2023-12-01T19:30:00Z,13,darmstadt,1. fc köln,0,1,0,0,1,1. fc köln,darmstadt,patrick ittrich,Bundesliga
2023-12-02T14:30:00Z,13,rb leipzig,heidenheim,2,1,2,1,1,rb leipzig,heidenheim,christian dingert,Bundesliga
2023-12-02T14:30:00Z,13,m'gladbach,hoffenheim,2,1,0,0,1,m'gladbach,hoffenheim,tobias reichel,Bundesliga
2023-12-02T14:30:00Z,13,bochum,wolfsburg,3,1,2,1,2,bochum,wolfsburg,robert schröder,Bundesliga
2023-12-02T17:30:00Z,13,stuttgart,bremen,2,0,1,0,2,stuttgart,bremen,bastian dankert,Bundesliga
2023-12-03T14:30:00Z,13,mainz,freiburg,0,1,0,0,1,freiburg,mainz,tobias stieler,Bundesliga
2023-12-03T16:30:00Z,13,leverkusen,dortmund,1,1,0,1,0,draw,draw,daniel siebert,Bundesliga
2023-12-03T18:30:00Z,13,augsburg,frankfurt,2,1,1,0,1,augsburg,frankfurt,harm osmers,Bundesliga
2023-12-08T19:30:00Z,14,hoffenheim,bochum,3,1,2,0,2,hoffenheim,bochum,matthias jöllenbeck,Bundesliga
2023-12-09T14:30:00Z,14,union berlin,m'gladbach,3,1,1,0,2,union berlin,m'gladbach,martin petersen,Bundesliga
2023-12-09T14:30:00Z,14,frankfurt,bayern,5,1,3,1,4,frankfurt,bayern,felix zwayer,Bundesliga
2023-12-09T14:30:00Z,14,wolfsburg,freiburg,0,1,0,0,1,freiburg,wolfsburg,marco fritz,Bundesliga
2023-12-09T14:30:00Z,14,bremen,augsburg,2,0,1,0,2,bremen,augsburg,sascha stegemann,Bundesliga
2023-12-09T14:30:00Z,14,heidenheim,darmstadt,3,2,1,0,1,heidenheim,darmstadt,daniel schlager,Bundesliga
2023-12-09T17:30:00Z,14,dortmund,rb leipzig,2,3,1,1,1,rb leipzig,dortmund,sven jablonski,Bundesliga
2023-12-10T14:30:00Z,14,stuttgart,leverkusen,1,1,1,0,0,draw,draw,deniz aytekin,Bundesliga
2023-12-10T16:30:00Z,14,1. fc köln,mainz,0,0,0,0,0,draw,draw,frank willenborg,Bundesliga
2023-12-15T19:30:00Z,15,m'gladbach,bremen,2,2,1,1,0,draw,draw,felix zwayer,Bundesliga
2023-12-16T14:30:00Z,15,mainz,heidenheim,0,1,0,1,1,heidenheim,mainz,bastian dankert,Bundesliga
2023-12-16T14:30:00Z,15,bochum,union berlin,3,0,1,0,3,bochum,union berlin,sven jablonski,Bundesliga
2023-12-16T14:30:00Z,15,augsburg,dortmund,1,1,1,1,0,draw,draw,matthias jöllenbeck,Bundesliga
2023-12-16T14:30:00Z,15,darmstadt,wolfsburg,0,1,0,0,1,wolfsburg,darmstadt,robert hartmann,Bundesliga
2023-12-16T17:30:00Z,15,rb leipzig,hoffenheim,3,1,1,1,2,rb leipzig,hoffenheim,robert schröder,Bundesliga
2023-12-17T14:30:00Z,15,freiburg,1. fc köln,2,0,0,0,2,freiburg,1. fc köln,harm osmers,Bundesliga
2023-12-17T16:30:00Z,15,leverkusen,frankfurt,3,0,1,0,3,leverkusen,frankfurt,christian dingert,Bundesliga
2023-12-17T18:30:00Z,15,bayern,stuttgart,3,0,1,0,3,bayern,stuttgart,tobias stieler,Bundesliga
2023-12-19T17:30:00Z,16,bremen,rb leipzig,1,1,0,0,0,draw,draw,tobias reichel,Bundesliga
2023-12-19T19:30:00Z,16,dortmund,mainz,1,1,1,1,0,draw,draw,marco fritz,Bundesliga
2023-12-19T19:30:00Z,16,hoffenheim,darmstadt,3,3,2,1,0,draw,draw,frank willenborg,Bundesliga
2023-12-20T17:30:00Z,16,union berlin,1. fc köln,2,0,0,0,2,union berlin,1. fc köln,deniz aytekin,Bundesliga
2023-12-20T19:30:00Z,16,leverkusen,bochum,4,0,3,0,4,leverkusen,bochum,daniel schlager,Bundesliga
2023-12-20T19:30:00Z,16,frankfurt,m'gladbach,2,1,0,1,1,frankfurt,m'gladbach,florian badstübner,Bundesliga
2023-12-20T19:30:00Z,16,wolfsburg,bayern,1,2,1,2,1,bayern,wolfsburg,sascha stegemann,Bundesliga
2023-12-20T19:30:00Z,16,stuttgart,augsburg,3,0,2,0,3,stuttgart,augsburg,daniel siebert,Bundesliga
2023-12-20T19:30:00Z,16,heidenheim,freiburg,3,2,0,1,1,heidenheim,freiburg,benjamin brand,Bundesliga
2024-01-12T19:30:00Z,17,bayern,hoffenheim,3,0,1,0,3,bayern,hoffenheim,benjamin brand,Bundesliga
2024-01-13T14:30:00Z,17,rb leipzig,frankfurt,0,1,0,1,1,frankfurt,rb leipzig,frank willenborg,Bundesliga
2024-01-13T14:30:00Z,17,freiburg,union berlin,0,0,0,0,0,draw,draw,christian dingert,Bundesliga
2024-01-13T14:30:00Z,17,mainz,wolfsburg,1,1,0,1,0,draw,draw,patrick ittrich,Bundesliga
2024-01-13T14:30:00Z,17,1. fc köln,heidenheim,1,1,1,0,0,draw,draw,felix zwayer,Bundesliga
2024-01-13T14:30:00Z,17,augsburg,leverkusen,0,1,0,0,1,leverkusen,augsburg,sven jablonski,Bundesliga
2024-01-13T17:30:00Z,17,darmstadt,dortmund,0,3,0,1,3,dortmund,darmstadt,deniz aytekin,Bundesliga
2024-01-14T14:30:00Z,17,bochum,bremen,1,1,0,0,0,draw,draw,tobias stieler,Bundesliga
2024-01-14T16:30:00Z,17,m'gladbach,stuttgart,3,1,2,0,2,m'gladbach,stuttgart,harm osmers,Bundesliga
2024-01-20T14:30:00Z,18,1. fc köln,dortmund,0,4,0,1,4,dortmund,1. fc köln,daniel schlager,Bundesliga
2024-01-20T14:30:00Z,18,darmstadt,frankfurt,2,2,0,1,0,draw,draw,daniel siebert,Bundesliga
2024-01-20T14:30:00Z,18,heidenheim,wolfsburg,1,1,1,1,0,draw,draw,timo gerach,Bundesliga
2024-01-20T14:30:00Z,18,freiburg,hoffenheim,3,2,1,0,1,freiburg,hoffenheim,sascha stegemann,Bundesliga
2024-01-20T14:30:00Z,18,bochum,stuttgart,1,0,0,0,1,bochum,stuttgart,bastian dankert,Bundesliga
2024-01-20T17:30:00Z,18,rb leipzig,leverkusen,2,3,1,0,1,leverkusen,rb leipzig,matthias jöllenbeck,Bundesliga
2024-01-21T14:30:00Z,18,bayern,bremen,0,1,0,0,1,bremen,bayern,marco fritz,Bundesliga
2024-01-21T16:30:00Z,18,m'gladbach,augsburg,1,2,1,0,1,augsburg,m'gladbach,martin petersen,Bundesliga
2024-01-24T19:30:00Z,13,bayern,union berlin,1,0,0,0,1,bayern,union berlin,frank willenborg,Bundesliga
2024-01-26T19:30:00Z,19,frankfurt,mainz,1,0,0,0,1,frankfurt,mainz,felix zwayer,Bundesliga
2024-01-27T14:30:00Z,19,augsburg,bayern,2,3,0,2,1,bayern,augsburg,christian dingert,Bundesliga
2024-01-27T14:30:00Z,19,stuttgart,rb leipzig,5,2,2,1,3,stuttgart,rb leipzig,sven jablonski,Bundesliga
2024-01-27T14:30:00Z,19,bremen,freiburg,3,1,1,1,2,bremen,freiburg,robert hartmann,Bundesliga
2024-01-27T14:30:00Z,19,wolfsburg,1. fc köln,1,1,1,1,0,draw,draw,sören storks,Bundesliga
2024-01-27T14:30:00Z,19,hoffenheim,heidenheim,1,1,1,1,0,draw,draw,tobias welz,Bundesliga
2024-01-27T17:30:00Z,19,leverkusen,m'gladbach,0,0,0,0,0,draw,draw,deniz aytekin,Bundesliga
2024-01-28T14:30:00Z,19,union berlin,darmstadt,1,0,0,0,1,union berlin,darmstadt,harm osmers,Bundesliga
2024-01-28T16:30:00Z,19,dortmund,bochum,3,1,1,1,2,dortmund,bochum,benjamin brand,Bundesliga
2024-02-02T19:30:00Z,20,heidenheim,dortmund,0,0,0,0,0,draw,draw,bastian dankert,Bundesliga
2024-02-03T14:30:00Z,20,darmstadt,leverkusen,0,2,0,1,2,leverkusen,darmstadt,tobias reichel,Bundesliga
2024-02-03T14:30:00Z,20,bayern,m'gladbach,3,1,1,1,2,bayern,m'gladbach,tobias stieler,Bundesliga
2024-02-03T14:30:00Z,20,mainz,bremen,0,1,0,1,1,bremen,mainz,benjamin brand,Bundesliga
2024-02-03T14:30:00Z,20,bochum,augsburg,1,1,1,0,0,draw,draw,patrick ittrich,Bundesliga
2024-02-03T14:30:00Z,20,freiburg,stuttgart,1,3,1,2,2,stuttgart,freiburg,daniel siebert,Bundesliga
2024-02-03T17:30:00Z,20,1. fc köln,frankfurt,2,0,0,0,2,1. fc köln,frankfurt,timo gerach,Bundesliga
2024-02-04T14:30:00Z,20,wolfsburg,hoffenheim,2,2,0,1,0,draw,draw,florian badstübner,Bundesliga
2024-02-04T16:30:00Z,20,rb leipzig,union berlin,2,0,1,0,2,rb leipzig,union berlin,marco fritz,Bundesliga
2024-02-07T17:30:00Z,18,mainz,union berlin,1,1,1,1,0,draw,draw,martin petersen,Bundesliga
2024-02-09T19:30:00Z,21,dortmund,freiburg,3,0,2,0,3,dortmund,freiburg,harm osmers,Bundesliga
2024-02-10T14:30:00Z,21,augsburg,rb leipzig,2,2,1,1,0,draw,draw,benjamin brand,Bundesliga
2024-02-10T14:30:00Z,21,union berlin,wolfsburg,1,0,1,0,1,union berlin,wolfsburg,matthias jöllenbeck,Bundesliga
2024-02-10T14:30:00Z,21,frankfurt,bochum,1,1,1,1,0,draw,draw,sven jablonski,Bundesliga
2024-02-10T14:30:00Z,21,bremen,heidenheim,1,2,1,2,1,heidenheim,bremen,robert schröder,Bundesliga
2024-02-10T14:30:00Z,21,m'gladbach,darmstadt,0,0,0,0,0,draw,draw,sascha stegemann,Bundesliga
2024-02-10T17:30:00Z,21,leverkusen,bayern,3,0,1,0,3,leverkusen,bayern,felix zwayer,Bundesliga
2024-02-11T14:30:00Z,21,stuttgart,mainz,3,1,2,0,2,stuttgart,mainz,deniz aytekin,Bundesliga
2024-02-11T16:30:00Z,21,hoffenheim,1. fc köln,1,1,0,0,0,draw,draw,christian dingert,Bundesliga
2024-02-16T19:30:00Z,22,1. fc köln,bremen,0,1,0,0,1,bremen,1. fc köln,daniel siebert,Bundesliga
2024-02-17T14:30:00Z,22,wolfsburg,dortmund,1,1,0,1,0,draw,draw,martin petersen,Bundesliga
2024-02-17T14:30:00Z,22,hoffenheim,union berlin,0,1,0,0,1,union berlin,hoffenheim,robert hartmann,Bundesliga
2024-02-17T14:30:00Z,22,heidenheim,leverkusen,1,2,0,1,1,leverkusen,heidenheim,harm osmers,Bundesliga
2024-02-17T14:30:00Z,22,mainz,augsburg,1,0,1,0,1,mainz,augsburg,tobias reichel,Bundesliga
2024-02-17T14:30:00Z,22,darmstadt,stuttgart,1,2,0,1,1,stuttgart,darmstadt,tobias welz,Bundesliga
2024-02-17T17:30:00Z,22,rb leipzig,m'gladbach,2,0,1,0,2,rb leipzig,m'gladbach,sören storks,Bundesliga
2024-02-18T14:30:00Z,22,freiburg,frankfurt,3,3,2,2,0,draw,draw,tobias stieler,Bundesliga
2024-02-18T16:30:00Z,22,bochum,bayern,3,2,2,1,1,bochum,bayern,daniel schlager,Bundesliga
2024-02-23T19:30:00Z,23,leverkusen,mainz,2,1,1,1,1,leverkusen,mainz,timo gerach,Bundesliga
2024-02-24T14:30:00Z,23,stuttgart,1. fc köln,1,1,0,0,0,draw,draw,patrick ittrich,Bundesliga
2024-02-24T14:30:00Z,23,union berlin,heidenheim,2,2,2,1,0,draw,draw,deniz aytekin,Bundesliga
2024-02-24T14:30:00Z,23,bremen,darmstadt,1,1,1,1,0,draw,draw,florian badstübner,Bundesliga
2024-02-24T14:40:00Z,23,m'gladbach,bochum,5,2,2,0,3,m'gladbach,bochum,frank willenborg,Bundesliga
2024-02-24T17:30:00Z,23,bayern,rb leipzig,2,1,0,0,1,bayern,rb leipzig,sascha stegemann,Bundesliga
2024-02-25T14:30:00Z,23,frankfurt,wolfsburg,2,2,1,2,0,draw,draw,daniel schlager,Bundesliga
2024-02-25T16:30:00Z,23,dortmund,hoffenheim,2,3,2,1,1,hoffenheim,dortmund,marco fritz,Bundesliga
2024-02-25T18:30:00Z,23,augsburg,freiburg,2,1,0,1,1,augsburg,freiburg,bastian dankert,Bundesliga
2024-03-01T19:30:00Z,24,freiburg,bayern,2,2,1,1,0,draw,draw,sven jablonski,Bundesliga
2024-03-02T14:30:00Z,24,union berlin,dortmund,0,2,0,1,2,dortmund,union berlin,christian dingert,Bundesliga
2024-03-02T14:30:00Z,24,bochum,rb leipzig,1,4,1,1,3,rb leipzig,bochum,harm osmers,Bundesliga
2024-03-02T14:30:00Z,24,heidenheim,frankfurt,1,2,0,1,1,frankfurt,heidenheim,sören storks,Bundesliga
2024-03-02T14:30:00Z,24,mainz,m'gladbach,1,1,1,0,0,draw,draw,robert schröder,Bundesliga
2024-03-02T14:30:00Z,24,darmstadt,augsburg,0,6,0,5,6,augsburg,darmstadt,felix zwayer,Bundesliga
2024-03-02T17:30:00Z,24,wolfsburg,stuttgart,2,3,0,1,1,stuttgart,wolfsburg,benjamin brand,Bundesliga
2024-03-03T14:30:00Z,24,1. fc köln,leverkusen,0,2,0,1,2,leverkusen,1. fc köln,tobias stieler,Bundesliga
2024-03-03T16:30:00Z,24,hoffenheim,bremen,2,1,2,0,1,hoffenheim,bremen,matthias jöllenbeck,Bundesliga
2024-03-08T19:30:00Z,25,stuttgart,union berlin,2,0,1,0,2,stuttgart,union berlin,robert schröder,Bundesliga
2024-03-09T14:30:00Z,25,bayern,mainz,8,1,3,1,7,bayern,mainz,patrick ittrich,Bundesliga
2024-03-09T14:30:00Z,25,m'gladbach,1. fc köln,3,3,1,1,0,draw,draw,felix zwayer,Bundesliga
2024-03-09T14:30:00Z,25,augsburg,heidenheim,1,0,1,0,1,augsburg,heidenheim,tobias welz,Bundesliga
2024-03-09T14:30:00Z,25,rb leipzig,darmstadt,2,0,1,0,2,rb leipzig,darmstadt,robert hartmann,Bundesliga
2024-03-09T17:30:00Z,25,bremen,dortmund,1,2,0,2,1,dortmund,bremen,deniz aytekin,Bundesliga
2024-03-10T14:30:00Z,25,bochum,freiburg,1,2,0,1,1,freiburg,bochum,marco fritz,Bundesliga
