date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2023-11-04T14:00:00Z,11,salernitana,napoli,0,2,0,1,2,napoli,salernitana,antonio rapuano
2023-11-04T17:00:00Z,11,atalanta,inter,1,2,0,1,1,inter,atalanta,simone sozza
2023-11-04T19:45:00Z,11,milan,udinese,0,1,0,0,1,udinese,milan,juan luca sacchi
2023-11-05T11:30:00Z,11,verona,monza,1,3,0,1,2,monza,verona,giuseppe collu
2023-11-05T14:00:00Z,11,cagliari,genoa,2,1,0,0,1,cagliari,genoa,marco guida
2023-11-05T17:00:00Z,11,roma,lecce,2,1,0,0,1,roma,lecce,andrea colombo
2023-11-05T19:45:00Z,11,fiorentina,juventus,0,1,0,1,1,juventus,fiorentina,daniele chiffi
2023-11-06T17:30:00Z,11,frosinone,empoli,2,1,0,0,1,frosinone,empoli,gianluca manganiello
2023-11-06T19:45:00Z,11,torino,sassuolo,2,1,1,1,1,torino,sassuolo,maria caputi
2023-11-10T17:30:00Z,12,sassuolo,salernitana,2,2,1,2,0,draw,draw,davide ghersini
2023-11-10T19:45:00Z,12,genoa,verona,1,0,1,0,1,genoa,verona,daniele orsato
2023-11-11T14:00:00Z,12,lecce,milan,2,2,0,2,0,draw,draw,rosario abisso
2023-11-11T17:00:00Z,12,juventus,cagliari,2,1,0,0,1,juventus,cagliari,marco piccinini
2023-11-11T19:45:00Z,12,monza,torino,1,1,0,0,0,draw,draw,daniele doveri
2023-11-12T11:30:00Z,12,napoli,empoli,0,1,0,0,1,empoli,napoli,alessandro prontera
2023-11-12T14:00:00Z,12,fiorentina,bologna,2,1,1,1,1,fiorentina,bologna,fabio maresca
2023-11-12T14:00:00Z,12,udinese,atalanta,1,1,1,0,0,draw,draw,gianluca aureliano
2023-11-12T17:00:00Z,12,lazio,roma,0,0,0,0,0,draw,draw,davide massa
2023-11-12T19:45:00Z,12,inter,frosinone,2,0,1,0,2,inter,frosinone,federico dionisi
2023-11-25T14:00:00Z,13,salernitana,lazio,2,1,0,1,1,salernitana,lazio,alessandro prontera
2023-11-25T17:00:00Z,13,atalanta,napoli,1,2,0,1,1,napoli,atalanta,maurizio mariani
2023-11-25T19:45:00Z,13,milan,fiorentina,1,0,1,0,1,milan,fiorentina,marco di bello
2023-11-26T11:30:00Z,13,cagliari,monza,1,1,1,0,0,draw,draw,matteo marchetti
2023-11-26T14:00:00Z,13,empoli,sassuolo,3,4,2,2,1,sassuolo,empoli,simone sozza
2023-11-26T14:00:00Z,13,frosinone,genoa,2,1,1,1,1,frosinone,genoa,luca zufferli
2023-11-26T17:00:00Z,13,roma,udinese,3,1,1,0,2,roma,udinese,luca massimi
2023-11-26T19:45:00Z,13,juventus,inter,1,1,1,1,0,draw,draw,marco guida
2023-11-27T17:30:00Z,13,verona,lecce,2,2,1,1,0,draw,draw,federico la penna
2023-11-27T19:45:00Z,13,bologna,torino,2,0,0,0,2,bologna,torino,andrea colombo
2023-12-01T19:45:00Z,14,monza,juventus,1,2,0,1,1,juventus,monza,michael fabbri
