date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2023-12-20T19:30:00Z,16,wolfsburg,bayern,1,2,1,2,1,bayern,wolfsburg,sascha stegemann
2023-12-20T19:30:00Z,16,stuttgart,augsburg,3,0,2,0,3,stuttgart,augsburg,daniel siebert
2023-12-20T19:30:00Z,16,heidenheim,freiburg,3,2,0,1,1,heidenheim,freiburg,benjamin brand
2024-01-12T19:30:00Z,17,bayern,hoffenheim,3,0,1,0,3,bayern,hoffenheim,benjamin brand
2024-01-13T14:30:00Z,17,rb leipzig,frankfurt,0,1,0,1,1,frankfurt,rb leipzig,frank willenborg
2024-01-13T14:30:00Z,17,freiburg,union berlin,0,0,0,0,0,draw,draw,christian dingert
2024-01-13T14:30:00Z,17,mainz,wolfsburg,1,1,0,1,0,draw,draw,patrick ittrich
2024-01-13T14:30:00Z,17,1. fc köln,heidenheim,1,1,1,0,0,draw,draw,felix zwayer
2024-01-13T14:30:00Z,17,augsburg,leverkusen,0,1,0,0,1,leverkusen,augsburg,sven jablonski
2024-01-13T17:30:00Z,17,darmstadt,dortmund,0,3,0,1,3,dortmund,darmstadt,deniz aytekin
2024-01-14T14:30:00Z,17,bochum,bremen,1,1,0,0,0,draw,draw,tobias stieler
2024-01-14T16:30:00Z,17,m'gladbach,stuttgart,3,1,2,0,2,m'gladbach,stuttgart,harm osmers
2024-01-20T14:30:00Z,18,1. fc köln,dortmund,0,4,0,1,4,dortmund,1. fc köln,daniel schlager
2024-01-20T14:30:00Z,18,darmstadt,frankfurt,2,2,0,1,0,draw,draw,daniel siebert
2024-01-20T14:30:00Z,18,heidenheim,wolfsburg,1,1,1,1,0,draw,draw,timo gerach
2024-01-20T14:30:00Z,18,freiburg,hoffenheim,3,2,1,0,1,freiburg,hoffenheim,sascha stegemann
2024-01-20T14:30:00Z,18,bochum,stuttgart,1,0,0,0,1,bochum,stuttgart,bastian dankert
2024-01-20T17:30:00Z,18,rb leipzig,leverkusen,2,3,1,0,1,leverkusen,rb leipzig,matthias jöllenbeck
2024-01-21T14:30:00Z,18,bayern,bremen,0,1,0,0,1,bremen,bayern,marco fritz
2024-01-21T16:30:00Z,18,m'gladbach,augsburg,1,2,1,0,1,augsburg,m'gladbach,martin petersen
2024-01-24T19:30:00Z,13,bayern,union berlin,1,0,0,0,1,bayern,union berlin,frank willenborg
2024-01-26T19:30:00Z,19,frankfurt,mainz,1,0,0,0,1,frankfurt,mainz,felix zwayer
2024-01-27T14:30:00Z,19,augsburg,bayern,2,3,0,2,1,bayern,augsburg,christian dingert
2024-01-27T14:30:00Z,19,stuttgart,rb leipzig,5,2,2,1,3,stuttgart,rb leipzig,sven jablonski
2024-01-27T14:30:00Z,19,bremen,freiburg,3,1,1,1,2,bremen,freiburg,robert hartmann
2024-01-27T14:30:00Z,19,wolfsburg,1. fc köln,1,1,1,1,0,draw,draw,sören storks
2024-01-27T14:30:00Z,19,hoffenheim,heidenheim,1,1,1,1,0,draw,draw,tobias welz
2024-01-27T17:30:00Z,19,leverkusen,m'gladbach,0,0,0,0,0,draw,draw,deniz aytekin
2024-01-28T14:30:00Z,19,union berlin,darmstadt,1,0,0,0,1,union berlin,darmstadt,harm osmers
2024-01-28T16:30:00Z,19,dortmund,bochum,3,1,1,1,2,dortmund,bochum,benjamin brand
2024-02-02T19:30:00Z,20,heidenheim,dortmund,0,0,0,0,0,draw,draw,bastian dankert
2024-02-03T14:30:00Z,20,darmstadt,leverkusen,0,2,0,1,2,leverkusen,darmstadt,tobias reichel
2024-02-03T14:30:00Z,20,bayern,m'gladbach,3,1,1,1,2,bayern,m'gladbach,tobias stieler
2024-02-03T14:30:00Z,20,mainz,bremen,0,1,0,1,1,bremen,mainz,benjamin brand
2024-02-03T14:30:00Z,20,bochum,augsburg,1,1,1,0,0,draw,draw,patrick ittrich
2024-02-03T14:30:00Z,20,freiburg,stuttgart,1,3,1,2,2,stuttgart,freiburg,daniel siebert
2024-02-03T17:30:00Z,20,1. fc köln,frankfurt,2,0,0,0,2,1. fc köln,frankfurt,timo gerach
2024-02-04T14:30:00Z,20,wolfsburg,hoffenheim,2,2,0,1,0,draw,draw,florian badstübner
2024-02-04T16:30:00Z,20,rb leipzig,union berlin,2,0,1,0,2,rb leipzig,union berlin,marco fritz
2024-02-07T17:30:00Z,18,mainz,union berlin,1,1,1,1,0,draw,draw,martin petersen
2024-02-09T19:30:00Z,21,dortmund,freiburg,3,0,2,0,3,dortmund,freiburg,harm osmers
2024-02-10T14:30:00Z,21,augsburg,rb leipzig,2,2,1,1,0,draw,draw,benjamin brand
2024-02-10T14:30:00Z,21,union berlin,wolfsburg,1,0,1,0,1,union berlin,wolfsburg,matthias jöllenbeck
2024-02-10T14:30:00Z,21,frankfurt,bochum,1,1,1,1,0,draw,draw,sven jablonski
2024-02-10T14:30:00Z,21,bremen,heidenheim,1,2,1,2,1,heidenheim,bremen,robert schröder
2024-02-10T14:30:00Z,21,m'gladbach,darmstadt,0,0,0,0,0,draw,draw,sascha stegemann
2024-02-10T17:30:00Z,21,leverkusen,bayern,3,0,1,0,3,leverkusen,bayern,felix zwayer
2024-02-11T14:30:00Z,21,stuttgart,mainz,3,1,2,0,2,stuttgart,mainz,deniz aytekin
2024-02-11T16:30:00Z,21,hoffenheim,1. fc köln,1,1,0,0,0,draw,draw,christian dingert
2024-02-16T19:30:00Z,22,1. fc köln,bremen,0,1,0,0,1,bremen,1. fc köln,daniel siebert
2024-02-17T14:30:00Z,22,wolfsburg,dortmund,1,1,0,1,0,draw,draw,martin petersen
2024-02-17T14:30:00Z,22,hoffenheim,union berlin,0,1,0,0,1,union berlin,hoffenheim,robert hartmann
2024-02-17T14:30:00Z,22,heidenheim,leverkusen,1,2,0,1,1,leverkusen,heidenheim,harm osmers
2024-02-17T14:30:00Z,22,mainz,augsburg,1,0,1,0,1,mainz,augsburg,tobias reichel
2024-02-17T14:30:00Z,22,darmstadt,stuttgart,1,2,0,1,1,stuttgart,darmstadt,tobias welz
